created_at,model,source_script,source_task,input_tokens,output_tokens,cached_tokens,total_tokens,cost_usd,latency_ms,success,error_text
2026-04-20 20:26:29.917615+00,claude-haiku,normalize_listings.py,canonical_extract,3188,242,0,3430,0.004398,2744,t,""
2026-04-20 20:26:33.731619+00,claude-haiku,normalize_listings.py,canonical_extract,3212,248,0,3460,0.004452,2783,t,""
2026-04-20 20:26:37.474123+00,claude-haiku,normalize_listings.py,canonical_extract,3181,243,0,3424,0.004396,2714,t,""
2026-04-20 20:26:41.089824+00,claude-haiku,normalize_listings.py,canonical_extract,3179,244,0,3423,0.004399,2586,t,""
2026-04-20 20:26:44.822723+00,claude-haiku,normalize_listings.py,canonical_extract,3158,233,0,3391,0.004323,2700,t,""
2026-04-20 20:26:48.53201+00,claude-haiku,normalize_listings.py,canonical_extract,3196,238,0,3434,0.004386,2682,t,""
2026-04-20 20:26:52.283137+00,claude-haiku,normalize_listings.py,canonical_extract,3196,247,0,3443,0.004431,2718,t,""
2026-04-20 20:26:55.854158+00,claude-haiku,normalize_listings.py,canonical_extract,3198,236,0,3434,0.004378,2532,t,""
2026-04-20 20:26:59.858466+00,claude-haiku,normalize_listings.py,canonical_extract,3215,256,0,3471,0.004495,2975,t,""
2026-04-20 20:27:03.590267+00,claude-haiku,normalize_listings.py,canonical_extract,3200,245,0,3445,0.004425,2697,t,""
2026-04-20 20:27:07.323616+00,claude-haiku,normalize_listings.py,canonical_extract,3161,244,0,3405,0.004381,2706,t,""
2026-04-20 20:27:10.955927+00,claude-haiku,normalize_listings.py,canonical_extract,3164,231,0,3395,0.004319,2605,t,""
2026-04-20 20:27:14.310844+00,claude-haiku,normalize_listings.py,canonical_extract,3149,232,0,3381,0.004309,2324,t,""
2026-04-20 20:27:17.851351+00,claude-haiku,normalize_listings.py,canonical_extract,3174,254,0,3428,0.004444,2510,t,""
2026-04-20 20:27:21.381025+00,claude-haiku,normalize_listings.py,canonical_extract,3142,247,0,3389,0.004377,2502,t,""
2026-04-20 20:27:24.711289+00,claude-haiku,normalize_listings.py,canonical_extract,2533,244,0,2777,0.003753,2297,t,""
2026-04-20 20:27:28.285903+00,claude-haiku,normalize_listings.py,canonical_extract,3128,232,0,3360,0.004288,2544,t,""
2026-04-20 20:27:31.906974+00,claude-haiku,normalize_listings.py,canonical_extract,3133,249,0,3382,0.004378,2591,t,""
2026-04-20 20:27:35.560229+00,claude-haiku,normalize_listings.py,canonical_extract,3174,245,0,3419,0.004399,2620,t,""
2026-04-20 20:27:38.844235+00,claude-haiku,normalize_listings.py,canonical_extract,2371,237,0,2608,0.003556,2255,t,""
2026-04-20 20:27:42.729554+00,claude-haiku,normalize_listings.py,canonical_extract,3143,237,0,3380,0.004328,2856,t,""
2026-04-20 20:27:46.388556+00,claude-haiku,normalize_listings.py,canonical_extract,3111,248,0,3359,0.004351,2628,t,""
2026-04-20 20:27:51.040868+00,claude-haiku,normalize_listings.py,canonical_extract,3142,233,0,3375,0.004307,3618,t,""
2026-04-20 20:27:54.809323+00,claude-haiku,normalize_listings.py,canonical_extract,3186,244,0,3430,0.004406,2728,t,""
2026-04-20 20:27:58.281346+00,claude-haiku,normalize_listings.py,canonical_extract,2463,235,0,2698,0.003638,2436,t,""
2026-04-20 20:28:01.803541+00,claude-haiku,normalize_listings.py,canonical_extract,3183,248,0,3431,0.004423,2479,t,""
2026-04-20 20:28:05.294408+00,claude-haiku,normalize_listings.py,canonical_extract,3178,243,0,3421,0.004393,2436,t,""
2026-04-20 20:28:08.542037+00,claude-haiku,normalize_listings.py,canonical_extract,2517,234,0,2751,0.003687,2209,t,""
2026-04-20 20:28:11.994851+00,claude-haiku,normalize_listings.py,canonical_extract,3171,237,0,3408,0.004356,2417,t,""
2026-04-20 20:28:15.965411+00,claude-haiku,normalize_listings.py,canonical_extract,3130,239,0,3369,0.004325,2927,t,""
2026-04-20 20:28:19.743246+00,claude-haiku,normalize_listings.py,canonical_extract,3154,250,0,3404,0.004404,2741,t,""
2026-04-20 20:28:23.485911+00,claude-haiku,normalize_listings.py,canonical_extract,3174,246,0,3420,0.004404,2714,t,""
2026-04-20 20:28:27.798163+00,claude-haiku,normalize_listings.py,canonical_extract,3141,243,0,3384,0.004356,3278,t,""
2026-04-20 20:28:32.189099+00,claude-haiku,normalize_listings.py,canonical_extract,3143,232,0,3375,0.004303,3364,t,""
2026-04-20 20:28:36.177281+00,claude-haiku,normalize_listings.py,canonical_extract,3152,232,0,3384,0.004312,2963,t,""
2026-04-20 20:28:40.14928+00,claude-haiku,normalize_listings.py,canonical_extract,3157,242,0,3399,0.004367,2942,t,""
2026-04-20 20:28:43.668855+00,claude-haiku,normalize_listings.py,canonical_extract,3171,244,0,3415,0.004391,2486,t,""
2026-04-20 20:28:47.498919+00,claude-haiku,normalize_listings.py,canonical_extract,3179,249,0,3428,0.004424,2790,t,""
2026-04-20 20:28:50.92593+00,claude-haiku,normalize_listings.py,canonical_extract,2489,236,0,2725,0.003669,2393,t,""
2026-04-20 20:28:54.45641+00,claude-haiku,normalize_listings.py,canonical_extract,3184,243,0,3427,0.004399,2501,t,""
2026-04-20 20:28:57.951273+00,claude-haiku,normalize_listings.py,canonical_extract,3145,228,0,3373,0.004285,2464,t,""
2026-04-20 20:29:02.021084+00,claude-haiku,normalize_listings.py,canonical_extract,3171,244,0,3415,0.004391,3039,t,""
2026-04-20 20:29:05.253187+00,claude-haiku,normalize_listings.py,canonical_extract,2462,235,0,2697,0.003637,2202,t,""
2026-04-20 20:29:08.79849+00,claude-haiku,normalize_listings.py,canonical_extract,3188,231,0,3419,0.004343,2518,t,""
2026-04-20 20:29:12.687643+00,claude-haiku,normalize_listings.py,canonical_extract,3111,238,0,3349,0.004301,2860,t,""
2026-04-20 20:29:16.249394+00,claude-haiku,normalize_listings.py,canonical_extract,3173,253,0,3426,0.004438,2529,t,""
2026-04-20 20:29:20.881292+00,claude-haiku,normalize_listings.py,canonical_extract,3136,243,0,3379,0.004351,3605,t,""
2026-04-20 23:55:51.612889+00,claude-haiku,normalize_listings.py,canonical_extract,3076,290,0,3366,0.004526,3469,t,""
2026-04-20 23:55:55.530276+00,claude-haiku,normalize_listings.py,canonical_extract,3178,247,0,3425,0.004413,2876,t,""
2026-04-20 23:55:59.200718+00,claude-haiku,normalize_listings.py,canonical_extract,3176,239,0,3415,0.004371,2644,t,""
2026-04-20 23:56:02.917396+00,claude-haiku,normalize_listings.py,canonical_extract,3181,244,0,3425,0.004401,2687,t,""
2026-04-20 23:56:06.537797+00,claude-haiku,normalize_listings.py,canonical_extract,3170,255,0,3425,0.004445,2590,t,""
2026-04-20 23:56:09.902257+00,claude-haiku,normalize_listings.py,canonical_extract,3133,237,0,3370,0.004318,2335,t,""
2026-04-20 23:56:13.922385+00,claude-haiku,normalize_listings.py,canonical_extract,2523,234,0,2757,0.003693,2991,t,""
2026-04-20 23:56:17.40517+00,claude-haiku,normalize_listings.py,canonical_extract,3185,239,0,3424,0.004380,2454,t,""
2026-04-20 23:56:20.862334+00,claude-haiku,normalize_listings.py,canonical_extract,3167,245,0,3412,0.004392,2430,t,""
2026-04-20 23:56:24.872604+00,claude-haiku,normalize_listings.py,canonical_extract,3181,245,0,3426,0.004406,2980,t,""
2026-04-20 23:56:28.553276+00,claude-haiku,normalize_listings.py,canonical_extract,3166,247,0,3413,0.004401,2651,t,""
2026-04-20 23:56:32.125237+00,claude-haiku,normalize_listings.py,canonical_extract,3183,247,0,3430,0.004418,2538,t,""
2026-04-20 23:56:35.588518+00,claude-haiku,normalize_listings.py,canonical_extract,3169,232,0,3401,0.004329,2434,t,""
2026-04-20 23:56:39.226489+00,claude-haiku,normalize_listings.py,canonical_extract,3161,245,0,3406,0.004386,2610,t,""
2026-04-20 23:56:42.888895+00,claude-haiku,normalize_listings.py,canonical_extract,3177,241,0,3418,0.004382,2636,t,""
2026-04-20 23:56:46.384971+00,claude-haiku,normalize_listings.py,canonical_extract,3174,241,0,3415,0.004379,2460,t,""
2026-04-20 23:56:50.040538+00,claude-haiku,normalize_listings.py,canonical_extract,3163,239,0,3402,0.004358,2627,t,""
2026-04-20 23:56:53.562672+00,claude-haiku,normalize_listings.py,canonical_extract,3169,239,0,3408,0.004364,2496,t,""
2026-04-20 23:56:57.471705+00,claude-haiku,normalize_listings.py,canonical_extract,3056,247,0,3303,0.004291,2871,t,""
